Time,Channel A
(us),(V)

-0.00500000,0.63386950
0.00000000,0.62440870
0.00500000,0.62440870
0.01000000,0.62440870
0.01500000,0.62440870
0.02000000,0.62440870
0.02500000,0.62440870
0.03000000,0.62440870
0.03500000,0.62440870
0.04000000,0.62440870
0.04500000,0.62440870
0.05000000,0.62440870
0.05500000,0.62440870
0.06000000,0.62440870
0.06500000,0.62440870
0.07000000,0.62440870
0.07500000,0.62440870
0.08000000,0.62440870
0.08500000,0.62440870
0.09000000,0.62440870
0.09500000,0.62440870
0.10000000,0.62440870
0.10500000,0.62440870
0.11000000,0.62440870
0.11500000,0.62440870
0.12000000,0.62440870
0.12500000,0.62440870
0.13000000,0.62440870
0.13500000,0.62440870
0.14000000,0.62440870
0.14500000,0.62440870
0.15000000,0.62440870
0.15500000,0.62440870
0.16000000,0.62440870
0.16500000,0.62440870
0.17000000,0.62440870
0.17500000,0.62440870
0.18000000,0.62440870
0.18500000,0.62440870
0.19000000,0.62440870
0.19500000,0.62440870
0.20000000,0.62440870
0.20500000,0.62440870
0.21000000,0.62440870
0.21500000,0.62440870
0.22000000,0.62440870
0.22500000,0.62440870
0.23000000,0.62440870
0.23500000,0.62440870
0.24000000,0.62440870
0.24500000,0.62440870
0.25000000,0.62440870
0.25500000,0.62440870
0.26000000,0.62440870
0.26500000,0.62440870
0.27000000,0.62562940
0.27500000,0.63112280
0.28000000,0.60457170
0.28500000,0.54719690
0.29000000,0.54719690
0.29500000,0.60457170
0.30000000,0.63112280
0.30500000,0.62562940
0.31000000,0.62440870
0.31500000,0.62440870
0.32000000,0.62440870
0.32500000,0.62440870
0.33000000,0.62440870
0.33500000,0.62440870
0.34000000,0.62440870
0.34500000,0.62440870
0.35000000,0.62440870
0.35500000,0.62440870
0.36000000,0.62440870
0.36500000,0.62440870
0.37000000,0.62440870
0.37500000,0.62440870
0.38000000,0.62440870
0.38500000,0.62440870
0.39000000,0.62440870
0.39500000,0.62440870
0.40000000,0.62440870
0.40500000,0.62440870
0.41000000,0.62440870
0.41500000,0.62440870
0.42000000,0.62562940
0.42500000,0.63112280
0.43000000,0.60457170
0.43500000,0.54719690
0.44000000,0.54719690
0.44500000,0.60457170
0.45000000,0.63112280
0.45500000,0.62562940
0.46000000,0.62440870
0.46500000,0.62440870
0.47000000,0.62440870
0.47500000,0.62440870
0.48000000,0.62440870
0.48500000,0.62440870
0.49000000,0.62440870
0.49500000,0.62440870
0.50000000,0.62440870
0.50500000,0.62440870
0.51000000,0.62440870
0.51500000,0.62440870
0.52000000,0.62562940
0.52500000,0.63112280
0.53000000,0.60457170
0.53500000,0.54719690
0.54000000,0.54872280
0.54500000,0.61098060
0.55000000,0.61098060
0.55500000,0.54872280
0.56000000,0.54719690
0.56500000,0.60457170
